,pareto,weibull,exp,gamma,lnorm
tomcat3.3,70.72427455,70.69788289,68.72427357,70.69150524,70.664
tomcat4.1,171.7243156,157.0997573,169.7224561,161.6624669,169.0076543
tomcat5,161.7957776,110.2609965,159.79577,113.511653,114.1046216
firefox2,81.58267212,81.84218266,79.99331539,81.05150849,75.2504
firefox3,97.9229332,91.03444139,95.92292593,91.24913377,92.23315
firefox4,80.99707158,81.19694577,84.62273821,81.62212099,79.98218
libre3,99.50115222,98.2287733,97.50114301,99.00333363,102.8079242
libre4,114.3049103,76.85472717,112.3049096,75.94304023,75.91984642
freebsd2,78.94542018,77.97628999,76.94541829,77.57285783,77.22228
freebsd3,112.2317105,94.79166613,110.2317087,95.24443003,95.63527
freebsd4,114.6089346,104.7944433,112.6089328,106.900631,109.2825
eclispe1,142.2993382,141.7212847,140.3835537,141.8083751,141.2347657
eclipse2.0,101.5773871,101.3290375,99.57738619,101.3100427,85.66629
eclipse2.1,111.718632,111.8645368,109.9843603,111.9478251,111.2688
